plant_id_eia,technology_description,class_atb,cf_atb
116,Solar Photovoltaic,1,0.3202687659970471
141,Solar Photovoltaic,1,0.3202687659970471
529,Solar Photovoltaic,4,0.28148929329880334
645,Solar Photovoltaic,3,0.2953626825189205
676,Solar Photovoltaic,4,0.28148929329880334
944,Solar Photovoltaic,8,0.23163275150342633
960,Solar Photovoltaic,8,0.23163275150342633
1016,Solar Photovoltaic,6,0.2537975724560726
1172,Solar Photovoltaic,8,0.23163275150342633
1355,Solar Photovoltaic,7,0.2408794703868765
2240,Solar Photovoltaic,7,0.2408794703868765
2854,Solar Photovoltaic,8,0.23163275150342633
2953,Solar Photovoltaic,5,0.26753870312354816
3548,Solar Photovoltaic,5,0.26753870312354816
6074,Solar Photovoltaic,7,0.2408794703868765
6081,Solar Photovoltaic,9,0.22047669886675608
6125,Solar Photovoltaic,8,0.23163275150342633
6304,Solar Photovoltaic,10,0.20237932814438855
7790,Solar Photovoltaic,4,0.28148929329880334
8223,Solar Photovoltaic,2,0.30974988165310763
10029,Solar Photovoltaic,8,0.23163275150342633
10224,Solar Photovoltaic,8,0.23163275150342633
10287,Solar Photovoltaic,4,0.28148929329880334
10334,Solar Photovoltaic,5,0.26753870312354816
10437,Solar Photovoltaic,1,0.3202687659970471
10438,Solar Photovoltaic,1,0.3202687659970471
10444,Solar Photovoltaic,1,0.3202687659970471
10823,Solar Photovoltaic,9,0.22047669886675608
50061,Solar Photovoltaic,3,0.2953626825189205
50064,Solar Photovoltaic,4,0.28148929329880334
50654,Solar Photovoltaic,3,0.2953626825189205
50736,Solar Photovoltaic,8,0.23163275150342633
50765,Solar Photovoltaic,3,0.2953626825189205
52148,Solar Photovoltaic,7,0.2408794703868765
54569,Solar Photovoltaic,8,0.23163275150342633
54665,Solar Photovoltaic,3,0.2953626825189205
54666,Solar Photovoltaic,3,0.2953626825189205
55641,Solar Photovoltaic,8,0.23163275150342633
55991,Solar Photovoltaic,3,0.2953626825189205
56224,Solar Photovoltaic,5,0.26753870312354816
56228,Solar Photovoltaic,2,0.30974988165310763
56322,Solar Photovoltaic,7,0.2408794703868765
56481,Solar Photovoltaic,3,0.2953626825189205
56500,Solar Photovoltaic,3,0.2953626825189205
56540,Solar Photovoltaic,3,0.2953626825189205
56568,Solar Photovoltaic,2,0.30974988165310763
56667,Solar Photovoltaic,5,0.26753870312354816
56768,Solar Photovoltaic,3,0.2953626825189205
56813,Solar Photovoltaic,3,0.2953626825189205
56814,Solar Photovoltaic,3,0.2953626825189205
56815,Solar Photovoltaic,5,0.26753870312354816
56862,Solar Photovoltaic,1,0.3202687659970471
56875,Solar Photovoltaic,4,0.28148929329880334
56877,Solar Photovoltaic,8,0.23163275150342633
56883,Solar Photovoltaic,8,0.23163275150342633
56888,Solar Photovoltaic,8,0.23163275150342633
56889,Solar Photovoltaic,8,0.23163275150342633
56900,Solar Photovoltaic,7,0.2408794703868765
56909,Solar Photovoltaic,5,0.26753870312354816
56915,Solar Photovoltaic,6,0.2537975724560726
56917,Solar Photovoltaic,1,0.3202687659970471
56922,Solar Photovoltaic,5,0.26753870312354816
56929,Solar Photovoltaic,3,0.2953626825189205
56930,Solar Photovoltaic,4,0.28148929329880334
56938,Solar Photovoltaic,6,0.2537975724560726
56939,Solar Photovoltaic,1,0.3202687659970471
56944,Solar Photovoltaic,2,0.30974988165310763
56966,Solar Photovoltaic,6,0.2537975724560726
56976,Solar Photovoltaic,2,0.30974988165310763
56993,Solar Photovoltaic,8,0.23163275150342633
56996,Solar Photovoltaic,3,0.2953626825189205
57004,Solar Photovoltaic,2,0.30974988165310763
57005,Solar Photovoltaic,3,0.2953626825189205
57006,Solar Photovoltaic,4,0.28148929329880334
57007,Solar Photovoltaic,1,0.3202687659970471
57008,Solar Photovoltaic,3,0.2953626825189205
57009,Solar Photovoltaic,2,0.30974988165310763
57010,Solar Photovoltaic,4,0.28148929329880334
57011,Solar Photovoltaic,1,0.3202687659970471
57012,Solar Photovoltaic,1,0.3202687659970471
