plant_id_eia,plant_name_eia,generator_id,technology_description,capacity_mw,latitude,longitude,balancing_authority_code_eia,state
9990000,G006,1,onshore_wind,2,46.905613,-96.495241,MISO,MN
9990001,G037,1,onshore_wind,36,44.027575,-95.761347,MISO,MN
9990002,G040,1,onshore_wind,202,43.692187,-95.734382,MISO,MN
9990003,G041,1,onshore_wind,2,44.035805,-96.248354,MISO,MN
9990004,G046,1,onshore_wind,200,43.388272,-93.245767,MISO,IA
9990005,G056,1,onshore_wind,80,43.073604,-93.735209,MISO,IA
9990006,G057,1,onshore_wind,80,44.027575,-95.761347,MISO,MN
9990007,G060,1,onshore_wind,100,44.027575,-95.761347,MISO,MN
9990008,G073,1,onshore_wind,1,44.410716,-96.278048,MISO,MN
9990009,G081,1,onshore_wind,1,44.035805,-96.248354,MISO,MN
9990010,G097,1,onshore_wind,2,44.027575,-95.761347,MISO,MN
9990011,G103,1,onshore_wind,370,43.731846,-87.922335,MISO,WI
9990012,G113,1,onshore_wind,200,43.695416,-92.749276,MISO,MN
9990013,G132,1,onshore_wind,180,46.115778,-98.478795,MISO,ND
9990014,G154,1,onshore_wind,150,44.777032,-96.656055,MISO,SD
9990015,G162,1,onshore_wind,200,43.692187,-95.734382,MISO,MN
9990016,G163,1,onshore_wind,200,44.027575,-95.761347,MISO,MN
9990017,G164,1,onshore_wind,200,43.695879,-94.549583,MISO,MN
9990018,G171,1,onshore_wind,14,44.042331,-92.848214,MISO,MN
9990019,G172,1,onshore_wind,300,43.695416,-92.749276,MISO,MN
9990020,G176,1,onshore_wind,100,44.410716,-96.278048,MISO,MN
9990021,G183,1,onshore_wind,200,44.027575,-95.761347,MISO,MN
9990022,G185,1,onshore_wind,4,44.035805,-96.248354,MISO,MN
9990023,G221,1,onshore_wind,180,46.115778,-98.478795,MISO,ND
9990024,G226,1,onshore_wind,9,44.035805,-96.248354,MISO,MN
9990025,G228,1,onshore_wind,30,43.659082,-86.266417,MISO,MI
9990026,G229,1,onshore_wind,30,43.659082,-86.266417,MISO,MI
9990027,G232,1,onshore_wind,44,43.396004,-95.192801,MISO,IA
9990028,G233,1,onshore_wind,10,44.027575,-95.761347,MISO,MN
9990029,G239,1,onshore_wind,63,44.042331,-92.848214,MISO,MN
