plant_id_eia,re_type,latitude,longitude
3779993241107764411,onshore_wind,36.0,-96.0
-3541415420898162242,onshore_wind,36.0,-93.5
-1376121675430656978,offshore_wind,41.5,-87.0
-8292772834411071601,onshore_wind,41.5,-91.0
5015923955017832856,onshore_wind,37.0,-101.0
-3253323011190488849,onshore_wind,37.0,-94.5
-4268596483879337314,onshore_wind,37.5,-97.0
-7537207153957549419,onshore_wind,38.5,-94.0
695633664232935033,onshore_wind,38.5,-95.5
5692606414328062489,offshore_wind,43.5,-84.0
-3429931517648940024,onshore_wind,40.5,-96.0
5160072003489513490,onshore_wind,40.0,-100.5
7056496725655102502,onshore_wind,45.0,-71.0
-3463313281338880556,onshore_wind,43.5,-71.0
-2461774071067902707,onshore_wind,42.0,-79.0
-981105203622498464,onshore_wind,42.0,-78.5
-8687301612887319383,onshore_wind,46.5,-100.5
-852292996402981979,offshore_wind,41.5,-82.5
1927744620966365061,solar,35.5,-96.0
4834497061423023946,onshore_wind,37.0,-99.0
-763043526092474714,onshore_wind,40.5,-79.0
-7161657938812947707,onshore_wind,41.5,-78.5
6818557839423422422,offshore_wind,32.5,-80.0
-8142285779344433079,offshore_wind,32.5,-80.5
171998890911635779,onshore_wind,32.5,-97.0
-977672099980806679,onshore_wind,37.0,-82.0
-6499497964002335516,offshore_wind,43.5,-88.0
-1300732456609895147,offshore_wind,44.0,-87.5
852429399639951122,offshore_wind,44.5,-88.0
7141140217024314717,offshore_wind,45.0,-87.5
1543079480682486323,offshore_wind,45.5,-87.5
-2903788011172639224,onshore_wind,30.0,-98.5
-1091167121011196818,offshore_wind,27.0,-97.0
3173383660048115432,onshore_wind,45.5,-106.5
-8907205213674621083,onshore_wind,41.5,-101.0
1812488805445312351,onshore_wind,36.0,-94.5
6731760423428164760,onshore_wind,36.5,-94.0
531222246673164756,onshore_wind,41.0,-93.0
527293339178841496,onshore_wind,35.0,-95.0
2931087527994445983,offshore_wind,47.5,-90.5
8327692074668546711,offshore_wind,43.5,-79.0
4835009217913001907,onshore_wind,40.0,-110.5
8327426199535327351,onshore_wind,31.5,-97.5
-6055372056383298509,onshore_wind,31.5,-98.0
1411384090278631347,onshore_wind,34.5,-96.0
-4032254724508676390,onshore_wind,37.0,-114.0
7530568186149102372,onshore_wind,46.5,-112.5
-153885035463062702,onshore_wind,34.0,-97.0
-7029219270234350893,onshore_wind,45.0,-84.5
58035,offshore_wind,41.0,-71.5
7769,onshore_wind,20.0,-155.5
57617,onshore_wind,26.5,-98.5
59654,onshore_wind,27.0,-99.0
66123,onshore_wind,29.0,-96.0
9990832,onshore_wind,29.5,-94.5
61001,onshore_wind,31.0,-100.0
62853,onshore_wind,31.5,-100.0
57913,onshore_wind,32.5,-116.5
62630,onshore_wind,32.5,-103.0
56484,onshore_wind,32.5,-100.0
61921,onshore_wind,33.0,-101.5
60991,onshore_wind,33.5,-103.5
64639,onshore_wind,33.5,-99.5
58102,onshore_wind,34.5,-117.0
56097,onshore_wind,34.5,-104.0
58464,onshore_wind,34.5,-103.5
60317,onshore_wind,34.5,-103.0
59734,onshore_wind,34.5,-101.0
60592,onshore_wind,34.5,-98.0
58775,onshore_wind,35.5,-102.5
63590,onshore_wind,36.5,-100.5
57358,onshore_wind,36.5,-99.5
63104,onshore_wind,36.5,-97.5
56946,onshore_wind,37.0,-99.5
57858,onshore_wind,37.5,-96.5
62478,onshore_wind,37.5,-94.5
9991208,onshore_wind,38.5,-87.5
61984,onshore_wind,39.5,-101.0
9990804,onshore_wind,39.5,-89.0
56300,onshore_wind,39.5,-74.5
61407,onshore_wind,40.0,-98.5
9990607,onshore_wind,40.0,-89.5
9990905,onshore_wind,40.0,-87.5
9991167,onshore_wind,40.0,-87.0
57998,onshore_wind,40.0,-79.0
57182,onshore_wind,40.0,-76.5
59817,onshore_wind,40.5,-112.5
66195,onshore_wind,40.5,-99.0
64336,onshore_wind,40.5,-98.5
64377,onshore_wind,40.5,-97.0
9991257,onshore_wind,40.5,-90.0
65316,onshore_wind,40.5,-88.5
63641,onshore_wind,41.5,-92.0
9990779,onshore_wind,41.5,-86.5
57744,onshore_wind,41.5,-77.0
57325,onshore_wind,42.0,-89.0
9990884,onshore_wind,42.0,-85.0
9990870,onshore_wind,42.0,-84.0
59692,onshore_wind,42.0,-71.5
56434,onshore_wind,42.5,-114.0
57766,onshore_wind,42.5,-113.0
64183,onshore_wind,42.5,-91.5
59448,onshore_wind,42.5,-88.0
9991055,onshore_wind,43.0,-94.5
9991042,onshore_wind,43.0,-94.0
9991057,onshore_wind,43.0,-92.5
9991237,onshore_wind,43.0,-86.0
66192,onshore_wind,43.0,-84.5
56575,onshore_wind,43.0,-79.0
56594,onshore_wind,43.0,-75.5
65390,onshore_wind,43.5,-94.0
9990472,onshore_wind,43.5,-92.0
9990011,onshore_wind,43.5,-88.0
9990718,onshore_wind,43.5,-84.5
9990390,onshore_wind,44.0,-93.0
57813,onshore_wind,44.0,-92.0
56391,onshore_wind,44.0,-88.5
9990634,onshore_wind,44.0,-83.0
9990742,onshore_wind,44.5,-91.5
9990863,onshore_wind,44.5,-86.0
58238,onshore_wind,44.5,-73.0
57979,onshore_wind,44.5,-72.5
58004,onshore_wind,44.5,-71.5
56623,onshore_wind,45.0,-118.0
9990408,onshore_wind,45.0,-94.0
57531,onshore_wind,45.0,-70.0
9990392,onshore_wind,45.5,-97.0
9990428,onshore_wind,45.5,-95.5
9990591,onshore_wind,45.5,-94.5
56487,onshore_wind,46.0,-120.5
57171,onshore_wind,46.0,-104.0
64342,onshore_wind,46.0,-99.5
9990231,onshore_wind,46.0,-96.5
9990431,onshore_wind,46.0,-87.0
56377,onshore_wind,46.5,-110.0
9990307,onshore_wind,46.5,-104.5
60355,onshore_wind,46.5,-103.0
9990418,onshore_wind,46.5,-96.5
63205,onshore_wind,47.0,-122.5
65577,onshore_wind,47.0,-106.5
65944,onshore_wind,47.5,-101.0
9990628,onshore_wind,48.0,-95.0
9991103,onshore_wind,48.5,-96.5
1,onshore_wind,55.5,-160.5
65871,solar,27.0,-81.0
64641,solar,28.0,-82.5
63582,solar,28.0,-81.0
63109,solar,28.5,-80.5
65308,solar,29.0,-99.0
64145,solar,29.0,-82.5
65345,solar,30.0,-90.5
64146,solar,30.0,-85.5
59450,solar,31.0,-84.5
62415,solar,31.5,-103.5
60123,solar,31.5,-102.5
63522,solar,31.5,-84.0
63351,solar,32.0,-101.0
65855,solar,32.0,-96.5
57795,solar,32.5,-113.0
66240,solar,32.5,-90.0
62163,solar,32.5,-88.5
60702,solar,32.5,-81.5
65644,solar,33.0,-100.5
65946,solar,33.0,-94.5
59871,solar,33.5,-115.0
65437,solar,33.5,-81.5
58528,solar,34.0,-116.5
65854,solar,34.0,-95.5
61996,solar,34.0,-79.5
65187,solar,34.5,-120.0
64632,solar,34.5,-117.0
8223,solar,34.5,-109.0
60198,solar,34.5,-106.5
60692,solar,34.5,-79.5
61167,solar,35.0,-117.5
60197,solar,35.0,-107.0
61617,solar,35.0,-98.5
58401,solar,35.0,-85.0
63463,solar,35.0,-81.5
61561,solar,35.0,-78.5
64392,solar,35.5,-94.0
65629,solar,35.5,-89.0
65630,solar,35.5,-86.5
63567,solar,35.5,-82.0
57994,solar,35.5,-81.5
64167,solar,35.5,-81.0
66362,solar,35.5,-78.0
63568,solar,35.5,-77.5
62544,solar,35.5,-77.0
64511,solar,35.5,-76.5
64633,solar,36.0,-119.0
57442,solar,36.0,-115.5
63504,solar,36.0,-115.0
65639,solar,36.0,-82.5
